<com.coveros.training.expenses.AlcoholCalculator: com.coveros.training.expenses.AlcoholResult calculate(com.coveros.training.expenses.DinnerPrices)>	calculate	com.coveros.training.expenses.DinnerPrices	com.coveros.training.expenses.AlcoholCalculator	com.coveros.training.expenses.AlcoholResult	(Lcom/coveros/training/expenses/DinnerPrices;)Lcom/coveros/training/expenses/AlcoholResult;	1
<com.coveros.training.library.domainobjects.Loan: void <init>(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,long,java.sql.Date)>	<init>	com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,long,java.sql.Date	com.coveros.training.library.domainobjects.Loan	void	(Lcom/coveros/training/library/domainobjects/Book;Lcom/coveros/training/library/domainobjects/Borrower;JLjava/sql/Date;)V	4
<com.coveros.training.library.domainobjects.Loan: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.library.domainobjects.Loan	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.persistence.PersistenceLayer$ThrowingFunction: java.lang.Object apply(java.sql.ResultSet)>	apply	java.sql.ResultSet	com.coveros.training.persistence.PersistenceLayer$ThrowingFunction	java.lang.Object	(Ljava/sql/ResultSet;)Ljava/lang/Object;	1
<com.coveros.training.mathematics.TailRecursive: java.util.function.BiFunction tailie(java.util.function.BiFunction,java.util.function.UnaryOperator,java.util.function.Predicate,java.util.function.Function)>	tailie	java.util.function.BiFunction,java.util.function.UnaryOperator,java.util.function.Predicate,java.util.function.Function	com.coveros.training.mathematics.TailRecursive	java.util.function.BiFunction	(Ljava/util/function/BiFunction;Ljava/util/function/UnaryOperator;Ljava/util/function/Predicate;Ljava/util/function/Function;)Ljava/util/function/BiFunction;	4
<com.coveros.training.mathematics.TailRecursive: java.lang.Object lambda$tailie$0(java.util.function.BiFunction,java.util.function.UnaryOperator,java.util.function.Predicate,java.util.function.Function,java.lang.Object,java.lang.Object)>	lambda$tailie$0	java.util.function.BiFunction,java.util.function.UnaryOperator,java.util.function.Predicate,java.util.function.Function,java.lang.Object,java.lang.Object	com.coveros.training.mathematics.TailRecursive	java.lang.Object	(Ljava/util/function/BiFunction;Ljava/util/function/UnaryOperator;Ljava/util/function/Predicate;Ljava/util/function/Function;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	6
<com.coveros.training.authentication.domainobjects.PasswordResult: void <init>(com.coveros.training.authentication.domainobjects.PasswordResultEnums,java.lang.Double,java.lang.String,java.lang.String,java.lang.String)>	<init>	com.coveros.training.authentication.domainobjects.PasswordResultEnums,java.lang.Double,java.lang.String,java.lang.String,java.lang.String	com.coveros.training.authentication.domainobjects.PasswordResult	void	(Lcom/coveros/training/authentication/domainobjects/PasswordResultEnums;Ljava/lang/Double;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	5
<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>	createDefault	com.coveros.training.authentication.domainobjects.PasswordResultEnums	com.coveros.training.authentication.domainobjects.PasswordResult	com.coveros.training.authentication.domainobjects.PasswordResult	(Lcom/coveros/training/authentication/domainobjects/PasswordResultEnums;)Lcom/coveros/training/authentication/domainobjects/PasswordResult;	1
<com.coveros.training.authentication.domainobjects.PasswordResult: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.authentication.domainobjects.PasswordResult	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.library.LibraryLendServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryLendServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.TailRecursive$$: com.coveros.training.mathematics.TailRecursive$$ valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.mathematics.TailRecursive$$	com.coveros.training.mathematics.TailRecursive$$	(Ljava/lang/String;)Lcom/coveros/training/mathematics/TailRecursive$$;	1
<com.coveros.training.mathematics.TailRecursive$$: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.mathematics.TailRecursive$$	void	(Ljava/lang/String;I)V	2
<com.coveros.training.mathematics.TailRecursive$$: java.lang.Object epsilon(java.util.stream.Stream,java.util.function.Predicate,java.util.function.Function)>	epsilon	java.util.stream.Stream,java.util.function.Predicate,java.util.function.Function	com.coveros.training.mathematics.TailRecursive$$	java.lang.Object	(Ljava/util/stream/Stream;Ljava/util/function/Predicate;Ljava/util/function/Function;)Ljava/lang/Object;	3
<com.coveros.training.tomcat.WebAppListener: void <init>(com.coveros.training.persistence.IPersistenceLayer)>	<init>	com.coveros.training.persistence.IPersistenceLayer	com.coveros.training.tomcat.WebAppListener	void	(Lcom/coveros/training/persistence/IPersistenceLayer;)V	1
<com.coveros.training.tomcat.WebAppListener: void contextInitialized(javax.servlet.ServletContextEvent)>	contextInitialized	javax.servlet.ServletContextEvent	com.coveros.training.tomcat.WebAppListener	void	(Ljavax/servlet/ServletContextEvent;)V	1
<com.coveros.training.tomcat.WebAppListener: void contextDestroyed(javax.servlet.ServletContextEvent)>	contextDestroyed	javax.servlet.ServletContextEvent	com.coveros.training.tomcat.WebAppListener	void	(Ljavax/servlet/ServletContextEvent;)V	1
<com.coveros.training.library.LibraryRegisterBookServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryRegisterBookServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.Calculator: void <init>(com.coveros.training.mathematics.Calculator$Baz)>	<init>	com.coveros.training.mathematics.Calculator$Baz	com.coveros.training.mathematics.Calculator	void	(Lcom/coveros/training/mathematics/Calculator$Baz;)V	1
<com.coveros.training.mathematics.Calculator: int add(int,int)>	add	int,int	com.coveros.training.mathematics.Calculator	int	(II)I	2
<com.coveros.training.mathematics.Calculator: double add(double,double)>	add	double,double	com.coveros.training.mathematics.Calculator	double	(DD)D	2
<com.coveros.training.mathematics.Calculator: java.lang.String toStringZeroToTen(int)>	toStringZeroToTen	int	com.coveros.training.mathematics.Calculator	java.lang.String	(I)Ljava/lang/String;	1
<com.coveros.training.mathematics.Calculator: org.apache.commons.lang3.tuple.Pair add(org.apache.commons.lang3.tuple.Pair,org.apache.commons.lang3.tuple.Pair)>	add	org.apache.commons.lang3.tuple.Pair,org.apache.commons.lang3.tuple.Pair	com.coveros.training.mathematics.Calculator	org.apache.commons.lang3.tuple.Pair	(Lorg/apache/commons/lang3/tuple/Pair;Lorg/apache/commons/lang3/tuple/Pair;)Lorg/apache/commons/lang3/tuple/Pair;	2
<com.coveros.training.mathematics.Calculator: int calculateAndMore(int,int,com.coveros.training.mathematics.Calculator$iFoo,com.coveros.training.mathematics.Calculator$iBar)>	calculateAndMore	int,int,com.coveros.training.mathematics.Calculator$iFoo,com.coveros.training.mathematics.Calculator$iBar	com.coveros.training.mathematics.Calculator	int	(IILcom/coveros/training/mathematics/Calculator$iFoo;Lcom/coveros/training/mathematics/Calculator$iBar;)I	4
<com.coveros.training.mathematics.Calculator: int calculateAndMorePart2(int)>	calculateAndMorePart2	int	com.coveros.training.mathematics.Calculator	int	(I)I	1
<com.coveros.training.mathematics.Calculator: void calculateAndMorePart3(int)>	calculateAndMorePart3	int	com.coveros.training.mathematics.Calculator	void	(I)V	1
<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>	<init>	javax.sql.DataSource	com.coveros.training.persistence.PersistenceLayer	void	(Ljavax/sql/DataSource;)V	1
<com.coveros.training.persistence.PersistenceLayer: void executeUpdateTemplate(java.lang.String,java.lang.String,java.lang.Object[])>	executeUpdateTemplate	java.lang.String,java.lang.String,java.lang.Object[]	com.coveros.training.persistence.PersistenceLayer	void	(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)V	3
<com.coveros.training.persistence.PersistenceLayer: long executeInsertTemplate(java.lang.String,java.lang.String,java.lang.Object[])>	executeInsertTemplate	java.lang.String,java.lang.String,java.lang.Object[]	com.coveros.training.persistence.PersistenceLayer	long	(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)J	3
<com.coveros.training.persistence.PersistenceLayer: long executeInsertOnPreparedStatement(com.coveros.training.persistence.SqlData,java.sql.PreparedStatement)>	executeInsertOnPreparedStatement	com.coveros.training.persistence.SqlData,java.sql.PreparedStatement	com.coveros.training.persistence.PersistenceLayer	long	(Lcom/coveros/training/persistence/SqlData;Ljava/sql/PreparedStatement;)J	2
<com.coveros.training.persistence.PersistenceLayer: void executeUpdateOnPreparedStatement(com.coveros.training.persistence.SqlData,java.sql.PreparedStatement)>	executeUpdateOnPreparedStatement	com.coveros.training.persistence.SqlData,java.sql.PreparedStatement	com.coveros.training.persistence.PersistenceLayer	void	(Lcom/coveros/training/persistence/SqlData;Ljava/sql/PreparedStatement;)V	2
