1	smpl.ordering.SimpleCORSFilter
-	org.springframework.boot.loader.PropertiesLauncher
-	org.springframework.boot.loader.archive.JarFileArchive
/	org.springframework.boot.loader.jar.JarFile
/	org.springframework.boot.loader.jar.JarEntryData
/	org.springframework.boot.loader.PropertiesLauncher
/	org.springframework.boot.loader.archive.JarFileArchive
name	smpl.ordering.models.DealerInfo
main	org.springframework.boot.loader.MainMethodRunner
.	org.springframework.boot.loader.archive.ExplodedArchive
.	org.springframework.boot.loader.PropertiesLauncher
.	org.springframework.boot.loader.util.SystemPropertyUtils
description	smpl.ordering.models.CatalogItem
file	org.springframework.boot.loader.archive.ExplodedArchive
archive	org.springframework.boot.loader.archive.Archive
dealers	smpl.ordering.repositories.mongodb.MongoDealersRepository
quotes	smpl.ordering.repositories.mongodb.MongoQuoteRepository
None	smpl.ordering.models.OrderStatus
Created	smpl.ordering.models.OrderStatus
PER_READ	org.springframework.boot.loader.data.RandomAccessData$ResourceAccess
Confirmed	smpl.ordering.models.OrderStatus
Started	smpl.ordering.models.OrderStatus
Built	smpl.ordering.models.OrderStatus
DeliveryConfirmed	smpl.ordering.models.OrderStatus
Shipped	smpl.ordering.models.OrderStatus
Delivered	smpl.ordering.models.OrderStatus
Installed	smpl.ordering.models.OrderStatus
ONCE	org.springframework.boot.loader.data.RandomAccessData$ResourceAccess
quoteId	smpl.ordering.models.Order
orderDate	smpl.ordering.models.Order
customerName	smpl.ordering.models.Quote
dealerName	smpl.ordering.models.Quote
orders	smpl.ordering.repositories.mongodb.MongoOrderRepository
catalog	integration.services.MrpConnectService
shipments	smpl.ordering.repositories.mongodb.MongoShipmentRepository
<class integration.models.website.ProductMessage>	integration.scheduled.UpdateProductProcessTask
<class org.springframework.boot.loader.ExecutableArchiveLauncher>	org.springframework.boot.loader.ExecutableArchiveLauncher
<class smpl.ordering.OrderingConfiguration>	smpl.ordering.OrderingInitializer
<class smpl.ordering.OrderingConfiguration>	smpl.ordering.OrderingConfiguration
<class integration.models.mrp.ShipmentRecord>	integration.services.MrpConnectService
<class smpl.ordering.PropertyHelper>	smpl.ordering.PropertyHelper
<class integration.scheduled.CreateOrderProcessTask>	integration.Main
<class integration.scheduled.UpdateProductProcessTask>	integration.Main
<class org.springframework.boot.loader.Launcher>	org.springframework.boot.loader.PropertiesLauncher
<class org.springframework.boot.loader.Launcher>	org.springframework.boot.loader.Launcher
<class smpl.ordering.models.OrderStatus>	smpl.ordering.models.OrderStatus
<class org.springframework.boot.loader.data.RandomAccessData$ResourceAccess>	org.springframework.boot.loader.data.RandomAccessData$ResourceAccess
<class java.lang.ClassLoader>	org.springframework.boot.loader.PropertiesLauncher
<class java.net.URL[]>	org.springframework.boot.loader.PropertiesLauncher
<class integration.infrastructure.ConfigurationHelpers>	integration.infrastructure.ConfigurationHelpers
<class integration.models.website.OrderMessage>	integration.scheduled.CreateOrderProcessTask
<class java.lang.String[]>	org.springframework.boot.loader.MainMethodRunner
<class java.lang.String[]>	org.springframework.boot.loader.Launcher
<class org.springframework.boot.loader.util.AsciiBytes>	org.springframework.boot.loader.util.AsciiBytes
<class smpl.ordering.repositories.mongodb.models.CatalogItem>	smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository
<class java.net.URLStreamHandler>	org.springframework.boot.loader.jar.Handler
<class java.net.URL>	org.springframework.boot.loader.jar.Handler
<class java.lang.String>	org.springframework.boot.loader.Launcher
<integration.models.website.ProductMessage: void <init>()>/new java.util.ArrayList/0	integration.models.website.ProductMessage
<org.springframework.boot.loader.data.RandomAccessDataFile: void <init>(java.io.File,int)>/new java.lang.IllegalArgumentException/0	org.springframework.boot.loader.data.RandomAccessDataFile
<integration.models.website.ProductMessage: void <init>(java.util.List)>/new integration.models.website.ProductItem/0	integration.models.website.ProductMessage
<org.springframework.boot.loader.data.RandomAccessDataFile: void <init>(java.io.File,int)>/new java.lang.IllegalArgumentException/1	org.springframework.boot.loader.data.RandomAccessDataFile
<org.springframework.boot.loader.data.RandomAccessDataFile: void <init>(java.io.File,int)>/new org.springframework.boot.loader.data.RandomAccessDataFile$FilePool/0	org.springframework.boot.loader.data.RandomAccessDataFile
<org.springframework.boot.loader.WarLauncher: void main(java.lang.String[])>/new org.springframework.boot.loader.WarLauncher/0	org.springframework.boot.loader.WarLauncher
<org.springframework.boot.loader.WarLauncher: void <clinit>()>/new org.springframework.boot.loader.util.AsciiBytes/0	org.springframework.boot.loader.WarLauncher
<smpl.ordering.OrderingInitializer: org.springframework.boot.builder.SpringApplicationBuilder configure(org.springframework.boot.builder.SpringApplicationBuilder)>/new java.lang.Class[]/0	smpl.ordering.OrderingInitializer
<org.springframework.boot.loader.data.RandomAccessDataFile: java.io.InputStream getInputStream(org.springframework.boot.loader.data.RandomAccessData$ResourceAccess)>/new org.springframework.boot.loader.data.RandomAccessDataFile$DataInputStream/0	org.springframework.boot.loader.data.RandomAccessDataFile
<org.springframework.boot.loader.ExecutableArchiveLauncher: void <init>()>/new org.springframework.boot.loader.InputArgumentsJavaAgentDetector/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<org.springframework.boot.loader.PropertiesLauncher$ArchiveEntryFilter: void <clinit>()>/new org.springframework.boot.loader.util.AsciiBytes/0	org.springframework.boot.loader.PropertiesLauncher$ArchiveEntryFilter
<org.springframework.boot.loader.ExecutableArchiveLauncher: void <init>(org.springframework.boot.loader.JavaAgentDetector)>/new java.lang.IllegalStateException/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<org.springframework.boot.loader.PropertiesLauncher$ArchiveEntryFilter: void <clinit>()>/new org.springframework.boot.loader.util.AsciiBytes/1	org.springframework.boot.loader.PropertiesLauncher$ArchiveEntryFilter
<org.springframework.boot.loader.ExecutableArchiveLauncher: void <init>(org.springframework.boot.loader.archive.Archive)>/new org.springframework.boot.loader.InputArgumentsJavaAgentDetector/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity ping()>/new org.springframework.http.ResponseEntity/0	smpl.ordering.controllers.PingController
<org.springframework.boot.loader.data.RandomAccessDataFile: org.springframework.boot.loader.data.RandomAccessData getSubsection(long,long)>/new java.lang.IndexOutOfBoundsException/0	org.springframework.boot.loader.data.RandomAccessDataFile
<org.springframework.boot.loader.data.RandomAccessDataFile: org.springframework.boot.loader.data.RandomAccessData getSubsection(long,long)>/new org.springframework.boot.loader.data.RandomAccessDataFile/0	org.springframework.boot.loader.data.RandomAccessDataFile
<integration.services.MrpConnectService: void <init>(java.lang.String)>/new org.springframework.web.client.RestTemplate/0	integration.services.MrpConnectService
<org.springframework.boot.loader.ExecutableArchiveLauncher: java.util.List getClassPathArchives()>/new java.util.ArrayList/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<org.springframework.boot.loader.ExecutableArchiveLauncher: java.util.List getClassPathArchives()>/new org.springframework.boot.loader.ExecutableArchiveLauncher$1/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<org.springframework.boot.loader.ExecutableArchiveLauncher: java.lang.ClassLoader createClassLoader(java.net.URL[])>/new java.util.LinkedHashSet/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<integration.services.MrpConnectService: void createNewOrder(integration.models.website.OrderMessage)>/new java.lang.StringBuilder/0	integration.services.MrpConnectService
<org.springframework.boot.loader.ExecutableArchiveLauncher: java.lang.ClassLoader createClassLoader(java.net.URL[])>/new java.net.URL[]/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<integration.services.MrpConnectService: void createNewOrder(integration.models.website.OrderMessage)>/new java.lang.StringBuilder/1	integration.services.MrpConnectService
<integration.services.MrpConnectService: void createNewOrder(integration.models.website.OrderMessage)>/new java.lang.StringBuilder/2	integration.services.MrpConnectService
<smpl.ordering.repositories.mongodb.MongoQuoteRepository: smpl.ordering.repositories.mongodb.models.QuoteDetails findExistingQuote(java.lang.String)>/new org.springframework.data.mongodb.core.query.Query/0	smpl.ordering.repositories.mongodb.MongoQuoteRepository
<org.springframework.boot.loader.ExecutableArchiveLauncher: boolean addDefaultClassloaderUrl(java.net.URL[],java.net.URL)>/new java.lang.StringBuilder/0	org.springframework.boot.loader.ExecutableArchiveLauncher
<integration.services.MrpConnectService: void createShipment(integration.models.website.OrderMessage,java.lang.String)>/new integration.models.mrp.ShipmentRecord/0	integration.services.MrpConnectService
<smpl.ordering.controllers.PingController: org.springframework.http.ResponseEntity getStatus()>/new java.lang.Object[]/0	smpl.ordering.controllers.PingController
<integration.services.MrpConnectService: void createShipment(integration.models.website.OrderMessage,java.lang.String)>/new java.lang.Object[]/0	integration.services.MrpConnectService
