java.lang.String::MockObject	java.lang.String
smpl.ordering.controllers.PingController::MockObject	smpl.ordering.controllers.PingController
smpl.ordering.models.Quote::MockObject	smpl.ordering.models.Quote
smpl.ordering.models.Order::MockObject	smpl.ordering.models.Order
smpl.ordering.models.ShipmentRecord::MockObject	smpl.ordering.models.ShipmentRecord
smpl.ordering.models.OrderStatus::MockObject	smpl.ordering.models.OrderStatus
smpl.ordering.models.DealerInfo::MockObject	smpl.ordering.models.DealerInfo
smpl.ordering.models.OrderUpdateInfo::MockObject	smpl.ordering.models.OrderUpdateInfo
smpl.ordering.models.OrderEventInfo::MockObject	smpl.ordering.models.OrderEventInfo
smpl.ordering.models.ShipmentEventInfo::MockObject	smpl.ordering.models.ShipmentEventInfo
smpl.ordering.OrderingConfiguration::MockObject	smpl.ordering.OrderingConfiguration
smpl.ordering.models.CatalogItem::MockObject	smpl.ordering.models.CatalogItem
smpl.ordering.repositories.RepositoryFactory::MockObject	smpl.ordering.repositories.RepositoryFactory
smpl.ordering.controllers.DealerController::MockObject	smpl.ordering.controllers.DealerController
smpl.ordering.SimpleCORSFilter::MockObject	smpl.ordering.SimpleCORSFilter
smpl.ordering.AppInsightsFilter::MockObject	smpl.ordering.AppInsightsFilter
smpl.ordering.controllers.QuoteController::MockObject	smpl.ordering.controllers.QuoteController
smpl.ordering.controllers.OrderController::MockObject	smpl.ordering.controllers.OrderController
smpl.ordering.controllers.CatalogController::MockObject	smpl.ordering.controllers.CatalogController
smpl.ordering.controllers.ShipmentController::MockObject	smpl.ordering.controllers.ShipmentController
